0	0
100	20
200	40
300	50
400	28
500	170
600	21
700	651
800	40
900	815
1000	762
1100	928
1200	832
1300	173
1400	367
1500	86
1600	1270
1700	993
1800	1155
1900	1473
2000	1881
2100	1819
2200	1773
2300	89
2400	1031
2500	2169
2600	1467
2700	564
2800	1966
2900	1511
3000	1431
3100	2407
3200	2776
3300	1971
3400	2092
3500	483
3600	2749
3700	3307
3800	34
3900	2017
4000	2485
4100	1335
4200	2015
4300	590
4400	3929
4500	1421
4600	236
4700	3957
4800	2159
4900	1969
5000	4534
5100	1006
5200	2516
5300	1058
5400	2884
5500	4425
5600	3182
5700	4637
5800	400
5900	2187
6000	982
6100	4444
6200	3477
6300	96
6400	3702
6500	2276
6600	4214
6700	4794
6800	3515
6900	5808
7000	4299
7100	2143
7200	3082
7300	28
7400	4444
7500	214
7600	1651
7700	3336
7800	3937
7900	3300
8000	2534
8100	2545
8200	2856
8300	3603
8400	401
8500	1590
8600	5846
8700	4134
8800	6762
8900	2176
9000	6881
9100	4916
9200	2231
9300	2466
9400	2201
9500	3529
9600	6379
9700	8303
9800	3343
9900	1207
10000	8287
10100	1489
10200	7984
10300	4669
10400	1414
10500	6302
10600	5389
10700	4602
10800	8901
10900	8378
11000	2353
11100	1122
11200	2785
11300	8445
11400	501
11500	9245
11600	4385
11700	2413
11800	9272
11900	543
12000	7033
12100	8488
12200	4211
12300	795
12400	8291
12500	9059
12600	5177
12700	1362
12800	10578
12900	9774
13000	10421
13100	8650
13200	1402
13300	4839
13400	8500
13500	9122
13600	725
13700	1725
13800	8915
13900	11301
14000	3151
14100	10617
14200	8155
14300	7405
14400	9259
14500	5348
14600	3352
14700	5262
14800	2925
14900	6703
15000	8457
15100	9662
15200	3744
15300	2999
15400	4001
15500	5402
15600	2635
15700	3356
15800	6397
15900	8090
16000	8785
16100	7883
16200	10960
16300	10162
16400	12645
16500	6482
16600	6984
16700	4804
16800	2763
16900	655
17000	13201
17100	4924
17200	12778
17300	10075
17400	9960
17500	3569
17600	881
17700	6887
17800	8239
17900	2192
18000	9106
18100	5646
18200	13164
18300	8869
18400	7943
18500	2106
18600	5955
18700	11264
18800	9466
18900	2525
19000	9972
19100	13589
19200	12857
19300	6847
19400	9662
19500	7935
19600	1063
19700	301
19800	9522
19900	10180
20000	5143
20100	14725
20200	1605
20300	14213
20400	7776
20500	8090
20600	5389
20700	10385
20800	10
20900	5539
21000	10972
21100	12221
21200	9776
21300	13837
21400	10864
21500	12931
21600	420
21700	1909
21800	11015
21900	10292
22000	16003
22100	3714
22200	10338
22300	6196
22400	5428
22500	12648
22600	2755
22700	15286
22800	11060
22900	10047
23000	11790
